id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
7270561f,2021-06-17,953310,33370,,,,4614805,3999885,,,,-2,1,1,1,0,0,1,3,2,3,2,3,5,2,-64.06,-42.59,-58.93,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-18,953551,33371,,,,4626435,4016682,,,,-2,1,1,1,0,0,1,3,2,3,2,3,5,2,-64.06,-42.59,-58.93,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-19,953749,33374,,,,4641806,4040516,,,,-2,1,1,1,0,0,1,3,2,3,2,3,5,2,-64.06,-42.59,-58.93,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-20,953928,33374,,,,4653303,4057732,,,,-2,1,1,1,0,0,1,3,2,3,2,3,5,2,-64.06,-42.59,-58.93,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-21,954096,33378,,,,4664712,4074042,,,,-2,1,1,1,0,0,1,3,2,3,2,3,5,2,-64.06,-42.59,-58.93,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-22,954235,33388,,,,4673322,4084447,,,,-2,1,1,1,0,0,1,3,2,3,2,3,5,2,-60.94,-42.59,-58.93,-75,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-23,954353,33390,,,,4683763,4097126,,,,-2,1,1,1,0,0,1,3,2,3,2,3,5,2,-60.94,-42.59,-58.93,-75,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-24,954567,33386,,,,4698496,4116055,,,,-2,1,1,1,0,0,1,3,2,3,2,3,5,2,-60.94,-42.59,-58.93,-75,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-25,954769,33391,,,,4710619,4132629,,,,-2,1,1,1,0,0,1,3,2,3,2,3,5,2,-60.94,-42.59,-58.93,-75,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-26,954954,33394,,,,4725593,4156475,,,,-2,1,1,1,0,0,1,3,2,3,2,3,5,2,-60.94,-42.59,-58.93,-75,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
